,Text,Label
128,lebih    kompleks,frasa
129,lintas    jaringan,frasa
130,local    area,frasa
131,melakukan    protocol,bukan frasa
132,melewatkan    lalu,bukan frasa
133,memerikan    perangkat,bukan frasa
134,memiliki    minimal,bukan frasa
135,mengalihkan    lalu,bukan frasa
136,menggunakan    kaidah,bukan frasa
137,menghubungkan    buah,bukan frasa
138,menghubungkan    dua,bukan frasa
139,menghubungkan    ibm,bukan frasa
140,menghubungkan    jaringan,bukan frasa
141,menghubungkan    satu,bukan frasa
142,menjembatani    dua,bukan frasa
143,menyamakan    gerbang,bukan frasa
144,merebaknya    internet,bukan frasa
145,merujuk    kepada,bukan frasa
146,minimal    buah,bukan frasa
147,muncul    karena,bukan frasa
148,network    dengan,bukan frasa
149,network    interface,frasa
150,network    salah,bukan frasa
151,pada    email,frasa
152,pada    sistem,frasa
153,pemula    menyamakan,bukan frasa
154,pengartian    gerbang,frasa
155,pengartian    tersebut,bukan frasa
156,penggunaan    gateway,frasa
157,penghala    router,frasa
158,perangkat    yang,bukan frasa
159,perbedaan    kaidah,frasa
160,pertukaran    email,frasa
161,poko    gateway,frasa
162,protocol    converting,frasa
163,protokol    lain,frasa
164,protokol ke,bukan frasa
165,pula    pemula,bukan frasa
166,router    yang,bukan frasa
167,salah    satu,bukan frasa
168,sama    sekali,bukan frasa
169,satu    atau,bukan frasa
170,satu    contoh,bukan frasa
171,satu    fungsi,frasa
172,satu    jaringan,frasa
173,satu    protokol,frasa
174,sebagai    komputer,frasa
175,sebetulnya    tidak,bukan frasa
176,sebuah    perangkat,frasa
177,sehingga    data,bukan frasa
178,sehingga    informasi,bukan frasa
179,sehingga    pertukaran,bukan frasa
180,sekali    berbeda,bukan frasa
181,sering    kali,bukan frasa
182,sistem    yang,bukan frasa
183,sna    dengan,bukan frasa
184,software    yang,bukan frasa
185,terjadi    di,bukan frasa
186,tersebut    adalah,bukan frasa
187,tidak    benarnkadangkala,bukan frasa
188,tidak    jarang,bukan frasa
189,tidak    kompatibel,frasa
190,tingkat    jaringan,frasa
191,untuk    melewatkan,frasa
192,untuk    memerikan,bukan frasa
193,untuk    mengalihkan,bukan frasa
194,untuk    menghubungkan,frasa
195,utama    istilah,bukan frasa
196,wanwide    area,bukan frasa
197,yang    arsitekturnya,bukan frasa
198,yang    berbeda,bukan frasa
199,yang    berbedabeda,bukan frasa
200,yang    besarnistilah,bukan frasa
201,yang    digunakan,bukan frasa
202,yang    lain,bukan frasa
203,yang    memiliki,bukan frasa
204,yang    menggunakan,bukan frasa
205,yang    menghubungkan,bukan frasa
206,yang    menjembatani,bukan frasa
207,yang    sebetulnya,bukan frasa
208,yang    tidak,bukan frasa
209,komunikasi    dan    teknologi,frasa
210,tenaga    surya,frasa
211,tenaga    angin,frasa
212,arus    air    proses    biologi    ,frasa
213,panas    bumi,frasa
214,pengembangan    energi    tebarukan,frasa
215,pengembangan    energi    masa    depan,frasa
216,energi    pasang    surut,frasa
217,energi    ombak,frasa
218,energi    angin,frasa
219,energi    surya,frasa
220,energi    air,frasa
221,pengembangan    energi    berbahan    bakar    nuklir    ,frasa
222,pengembangan    energi    berbahan    bakar    fosil,frasa
223,energi    berkelanjutan,frasa
224,tenaga    nuklir,frasa
225,reaktor    pembiak    cepat,frasa
226,pompa    panas,frasa
227,massa    jenis,
228,energi    panas    bumi,
229,inti    bumi,
